Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
true,UAT_DMS_Scenarios,TC01_Sanity_DMS_Login_Logout,1:6,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC02_CSS_Save_Task,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC03_CSS_Save_Task_WithoutAttachment,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC04_CSS_Complete_Task,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC05_CSS_Complete_Task_WithoutAttachment,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC06_CSS_CompletedTask_Checkpoint,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC07_CSS_Discard_Task,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC08_CSS_Discard_Task_WithoutAttachment,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC09_CSS_DiscardedTask_Checkpoint,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC10_CSS_ClaimNumber_Checkpoint,Single,NoRun,Chrome,Default,Any
true,UAT_DMS_Scenarios,TC11_CSS_ActivityLog_Checkpoint,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC12_CSS_AddComment_Checkpoint,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC13_CSS_ARender_Preview,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC14_Edit_ViewDocuments,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC15_ARenderview,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC16_CSS_Rescan_Checkpoint,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC17_DocsMenu_Print,Single,NoRun,Chrome,Default,Any
true,UAT_DMS_Scenarios,TC18_DocsMenu_EMail,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC19_DocsMenu_Fax,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC20_CopyLink_Document,Single,NoRun,Chrome Headless,Default,Any
true,UAT_DMS_Scenarios,TC21_DuckCreek_FileNote,Single,NoRun,Chrome Headless,Default,Any
