Step,ObjectName,Description,Action,Input,Condition,Reference
1,ClaimNo_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Claim_Number,,TaskQueue_DetailedPage
2,ClaimOwner_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Claim_Owner,,TaskQueue_DetailedPage
3,Sender_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Sender,,TaskQueue_DetailedPage
4,From_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:From,,TaskQueue_DetailedPage
5,Subject_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Subject,,TaskQueue_DetailedPage
"//6",Body,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Body,,TaskQueue_DetailedPage
7,Claimant_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Claimant,,TaskQueue_DetailedPage
8,PolicyNumber_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:PolicyNumber,,TaskQueue_DetailedPage
9,Source_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Source,,TaskQueue_DetailedPage
10,DateofLoss_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:DateofLoss,,TaskQueue_DetailedPage
11,Primary_Insured_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Primary_Insured,,TaskQueue_DetailedPage
12,Browser,"Take a Screen Shot ",takeScreenshot,,,
