Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,DMS_Login:Claims_Url,,
2,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,Login-Page
3,UserName_TB,"Click the [<Object>] ",Click,,,Login-Page
4,UserName_TB,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_Set,DMS_Login:Claims_User,,Login-Page
5,Password_TB,"Click the [<Object>] ",Click,,,Login-Page
6,Password_TB,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_SetDecrypt,DMS_Login:Claims_Pwd,,Login-Page
7,Login_BTN,Click on [<Object>],clickByJS,,,Login-Page
8,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
9,TaskQueue_TXT,"Wait for [<Object>] to be visible ",waitForElementToBeVisible,,,TaskQueue_DetailedPage
10,TaskQueue_TXT,Wait  for the element [<Object>] to be present,waitForElementToBePresent,,,TaskQueue_DetailedPage
11,Browser,"Refresh current page ",refreshDriver,,,
12,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
"//13",Browser,Add a variable to access within testcase,AddVar,Claims_RuntimeData:API,%API%,
"//14",Browser,Add a variable to access within testcase,AddVar,Claims_RuntimeData:SenderName,%Sender%,
"//15",Browser,Read the UserName and Password from user-defined values,PSIC_ReadAPI,,,
"//16",Browser,Get ID from API Response,GetTaskID,Claims_RuntimeData:TaskID,%TaskID%,
"//17",Browser,store variable value [<Condition>] in data sheet[<Data>],storeVariableInDataSheet,Claims_RuntimeData:TaskID,%TaskID%,
18,Search_BTN,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_Set,Claims_RuntimeData:TaskID,,Task_Queue
19,Browser,Send Keys [<Data>]  to Window.,sendKeysToWindow,@ENTER,,
20,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,Login-Page
21,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
22,Browser,"Take a Screen Shot ",takeScreenshot,,,
23,Select_FirstIndex,"Wait for [<Object>] to be visible ",waitForElementToBeVisible,,,Task_Queue
24,Select_FirstIndex,"Wait for [<Object>] to be clickable ",waitForElementToBeClickable,,,Task_Queue
25,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
26,Select_FirstIndex,Click on [<Object>],clickByJS,,,Task_Queue
"//27",Browser,Wait for [<Data>] milli seconds,pause,@5000,,
28,Browser,"Take a Screen Shot ",takeScreenshot,,,
29,Discard_BTN,Wait  for the element [<Object>] to be present,waitForElementToBePresent,,,TaskQueue_DetailedPage
30,Discard_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
31,Browser,"Take a Screen Shot ",takeScreenshot,,,
32,Discard_Reason,Select item in [<Object>] which has the value: [<Data>]  if the test data is available,PSIC_Selectbytext,DiscardTask:Discard_Reason,,TaskQueue_DetailedPage
33,Done_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
34,Browser,"Take a Screen Shot ",takeScreenshot,,,
"//35",Execute,,DMS_WorkFlow:GoBack_BTN,,,
36,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@10,,
37,Confirmation_Msg_Discard,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,TaskQueue_DetailedPage
38,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@10,,
39,Confirm_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
40,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,
41,DiscardTask_SuccessMsg,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,TaskQueue_DetailedPage
42,Done_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
43,Execute,,DMS_WorkFlow:Claims_Logout,,,
