Step,ObjectName,Description,Action,Input,Condition,Reference
1,CompletedTask_BTN,"Wait for [<Object>] to be clickable ",waitForElementToBeClickable,,,Completed_Task
2,CompletedTask_BTN,"Click the [<Object>] ",clickByJS,,,Completed_Task
3,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,
4,Confirm_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
5,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,
6,Browser,"Take a Screen Shot ",takeScreenshot,,,
7,CompletedTask_SuccessMsg,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,Completed_Task
8,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,
9,Browser,"Take a Screen Shot ",takeScreenshot,,,
10,Done_BTN,"Click the [<Object>] ",Click,,,TaskQueue_DetailedPage
11,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,
12,Browser,"Take a Screen Shot ",takeScreenshot,,,
