Step,ObjectName,Description,Action,Input,Condition,Reference
1,Discard_BTN,Wait  for the element [<Object>] to be present,waitForElementToBePresent,,,TaskQueue_DetailedPage
2,Discard_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
3,Browser,"Take a Screen Shot ",takeScreenshot,,,
4,Discard_Reason,Select item in [<Object>] which has the value: [<Data>]  if the test data is available,PSIC_Selectbytext,DiscardTask:Discard_Reason,,TaskQueue_DetailedPage
5,Done_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
6,Browser,"Take a Screen Shot ",takeScreenshot,,,
7,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@10,,
8,Confirmation_Msg_Discard,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,TaskQueue_DetailedPage
9,Confirm_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
10,DiscardTask_SuccessMsg,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,TaskQueue_DetailedPage
11,Done_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
12,Browser,"Take a Screen Shot ",takeScreenshot,,,
