Step,ObjectName,Description,Action,Input,Condition,Reference
1,Save_BTN,"Wait for [<Object>] to be clickable ",waitForElementToBeClickable,,,TaskQueue_DetailedPage
2,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
3,Save_BTN,Click on [<Object>],clickByJS,,,TaskQueue_DetailedPage
4,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
5,Browser,"Take a Screen Shot ",takeScreenshot,,,
6,SaveTask_SuccessMsg,Verify if [<Object>] element is displayed,verifyElementDisplayed,,,TaskQueue_DetailedPage
7,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
8,Done_BTN,"Click the [<Object>] ",clickByJS,,,TaskQueue_DetailedPage
9,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
10,Browser,"Take a Screen Shot ",takeScreenshot,,,
