Step,ObjectName,Description,Action,Input,Condition,Reference
1,ClaimNo_TB,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_Set,Claims_RuntimeData:Claim_Number,,TaskQueue_DetailedPage
2,Browser,Send Keys [<Data>]  to Window.,sendKeysToWindow,@ENTER,,
3,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
4,ClaimOwner_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Claim_Owner,,TaskQueue_DetailedPage
5,From_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:From,,TaskQueue_DetailedPage
6,Subject_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Subject,,TaskQueue_DetailedPage
7,Claimant_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Claimant,,TaskQueue_DetailedPage
8,PolicyNumber_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:PolicyNumber,,TaskQueue_DetailedPage
9,Source_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Source,,TaskQueue_DetailedPage
10,DateofLoss_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:DateofLoss,,TaskQueue_DetailedPage
11,Primary_Insured_TB,Store the [<Object>] element's text into datasheet:columname [<Data>],storeTextinDataSheet,Claims_RuntimeData:Primary_Insured,,TaskQueue_DetailedPage
12,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
13,Browser,"Take a Screen Shot ",takeScreenshot,,,
