Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,DMS_WorkFlow:Claims_Login,@1,,
2,Execute,,DMS_WorkFlow:Search_TaskID,,,
3,Execute,,DMS_WorkFlow:Select_Task,,,
4,Execute,,DMS_WorkFlow:HeaderTabs_Check,,,
5,Execute,,DMS_WorkFlow:Store_Taskld_MetaData,,,
6,Execute,,DMS_WorkFlow:MetaData_Tabs,,,
7,Execute,,DMS_WorkFlow:Select_File,,,
8,Execute,,DMS_WorkFlow:SelectDocType,,,
9,Execute,,DMS_WorkFlow:Copy_ClaimNo,,,
10,Execute,,DMS_WorkFlow:Update_ClaimNumber,,,
"//11",Execute,,DMS_WorkFlow:ClaimNo_Correction,,,
12,Execute,,DMS_WorkFlow:ClaimOwner_CommonInformation,,,
13,Execute,,DMS_WorkFlow:Select_InformationTab,,,
14,Execute,,DMS_WorkFlow:Information_TabCheck,,,
"//15",Execute,,DMS_WorkFlow:Info_SelectFile,,,
16,Execute,,DMS_WorkFlow:Save_Task,,,
17,Execute,,DMS_WorkFlow:Claims_Logout,,,
18,Execute,,DMS_WorkFlow:Claims_Login,@2,,
19,Execute,,DMS_WorkFlow:Search_ClaimNumber,,,
20,Execute,,DMS_WorkFlow:Select_Task,,,
21,Execute,,DMS_WorkFlow:Select_File,,,
22,Execute,,DMS_WorkFlow:SelectDocType,,,
23,Execute,,DMS_WorkFlow:Copy_ClaimNo,,,
24,Execute,,DMS_WorkFlow:Update_ClaimNumber,,,
25,Execute,,DMS_WorkFlow:Select_InformationTab,,,
"//26",Execute,,DMS_WorkFlow:ClaimNo_Correction,,,
27,Execute,,DMS_WorkFlow:Information_TabCheck,,,
28,Execute,,DMS_WorkFlow:Complete_Task,,,
29,Execute,,DMS_WorkFlow:Claims_Logout,,,
