Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,DMS_WorkFlow:Claims_Login,,,
2,Execute,,View_Docs_WorkFlow:DMS_ViewDoclink,,,
3,Execute,,View_Docs_WorkFlow:Docs_IconCheck,,,
4,Execute,,View_Docs_WorkFlow:SearchbyEmail,,,
"//5",Execute,,View_Docs_WorkFlow:ViewDoc_HeaderContent,,,
"//6",Execute,,View_Docs_WorkFlow:Select_ClaimNumber,,,
7,Search_Docs,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_Set,@Fax,,ViewDocuments
8,Browser,Send Keys [<Data>]  to Window.,sendKeysToWindow,@ENTER,,
9,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
10,Browser,"Take a Screen Shot ",takeScreenshot,,,
11,Execute,,View_Docs_WorkFlow:Menu_Fax,,,
12,Browser,Wait for [<Data>] milli seconds,pause,@100000,,
13,Execute,,DMS_WorkFlow:eFax,,,
14,Execute,,DMS_WorkFlow:Claims_Logout,,,
