Step,ObjectName,Description,Action,Input,Condition,Reference
1,Eyeview,Click on [<Object>],clickByJS,,,ViewDocuments
2,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
3,Browser,switching to window by title [<Data>],switchToWindowByTitleContains,@ARender,,
4,ARender_Logo,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
5,ARender_Logo,Assert if [<Object>] element is displayed,assertElementDisplayed,,,ARender_FilePreview
6,DocManager_BTN,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
7,AnnotationManager_BTN,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
8,RefreshAnnotation_BTN,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
9,ImageProcessing_BTN,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
10,PageNav1,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
11,TotalPageCount,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
12,Scrolldocumentview,Assert if [<Object>] is enabled on the current page,assertElementEnabled,,,ARender_FilePreview
13,Browser,"Take a Screen Shot ",takeScreenshot,,,
14,Browser,Close the current window and switch to default window,closeAndSwitchToWindow,,,
