Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,ViewDocument:Docview_Url,,
2,Browser,Change Default Element finding wait time by [<Data>] seconds,setElementTimeOut,@120,,Login-Page
3,UserName_TB,"Click the [<Object>] ",Click,,,Login-Page
4,UserName_TB,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_Set,ViewDocument:Docs_UserName,,Login-Page
5,Password_TB,"Click the [<Object>] ",Click,,,Login-Page
6,Password_TB,Enter the value [<Data>] in the Field [<Object>]  if the test data is available,PSIC_SetDecrypt,ViewDocument:Docs_Password,,Login-Page
7,Login_BTN,Click on [<Object>],clickByJS,,,Login-Page
8,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
9,ViewDocument_Title,"Wait for [<Object>] to be visible ",waitForElementToBeVisible,,,ViewDocuments
10,ViewDocument_Title,Wait  for the element [<Object>] to be present,waitForElementToBePresent,,,ViewDocuments
11,Browser,"Refresh current page ",refreshDriver,,,
12,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
13,Browser,"Take a Screen Shot ",takeScreenshot,,,
